"","DPA_PARROQ","DPA_DESPRO","DPA_DESCAN","DPA_DESPAR","pwettest","pop2","pdriest","max","min","tseason","m_prob"
"695","091651","GUAYAS","SAMBORONDON","TARIFA",303,0,1,30.8999996185303,19.431999206543,98.7293319702148,0.0598382724415379
"696","091850","GUAYAS","SANTA LUCIA","SANTA LUCIA",261,10115,1,30.7159996032715,19.0599994659424,91.3617630004883,0.0889299422579804
"697","091950","GUAYAS","SALITRE","EL SALITRE (LAS RAMAS)",319,15131,2,30.7999992370605,19.3319988250732,95.4847412109375,0.141591566638214
"698","091951","GUAYAS","SALITRE","GRAL. VERNAZA (DOS ESTEROS)",339,0,2,30.7999992370605,19.3680000305176,96.4343566894531,0.0787477548754537
"699","091952","GUAYAS","SALITRE","LA VICTORIA (ÑAUZA)",338,4028,1,30.8999996185303,19.4519996643066,100.179229736328,0.0873606583456966
"700","091953","GUAYAS","SALITRE","JUNQUILLAL",307,3372,2,30.7999992370605,19.2600002288818,92.284294128418,0.083985600703743
"701","092050","GUAYAS","SAN JACINTO DE YAGUACHI","SAN JACINTO DE YAGUACHI",314,0,1,31.0559997558594,19.3959999084473,100.824478149414,0.0638778500161672
"702","092053","GUAYAS","SAN JACINTO DE YAGUACHI","GRAL. PEDRO J. MONTERO (BOLICHE)",328,0,3,31.3999996185303,19,102.884696960449,0.0774077434175167
"703","092055","GUAYAS","SAN JACINTO DE YAGUACHI","YAGUACHI VIEJO (CONE)",312,0,2,31.3159999847412,19.1240005493164,102.038597106934,0.0682951541197477
"704","092056","GUAYAS","SAN JACINTO DE YAGUACHI","VIRGEN DE FATIMA",308,0,3,31.488000869751,19.0520000457764,102.624534606934,0.0691441732328387
"705","092150","GUAYAS","PLAYAS","GENERAL VILLAMIL (PLAYAS)",129,696,3,30.6000003814697,17.4400005340576,148.864486694336,0.0079270233521167
"706","092250","GUAYAS","SIMON BOLIVAR","SIMON BOLIVAR",404,49,4,30.9759998321533,19.1000003814697,99.9894943237305,0.119518350071788
"707","092251","GUAYAS","SIMON BOLIVAR","CRNEL. LORENZO DE GARAICOA (PEDREGAL)",417,309,6,30.8999996185303,18.9799995422363,97.3390274047852,0.139063467638069
"708","092350","GUAYAS","CRNEL. MARCELINO MARIDUEÑA","CORONEL MARCELINO MARIDUEÑA (SAN CARLOS)",377,0,6,31.1359996795654,18.8559989929199,99.4958190917969,0.110181093442853
"709","092450","GUAYAS","LOMAS DE SARGENTILLO","LOMAS DE SARGENTILLO",258,3398,1,30.7080001831055,19.1040000915527,83.6667022705078,0.0750611711907133
"710","092550","GUAYAS","NOBOL","NARCISA DE JESUS",257,5162,2,30.507999420166,18.9479999542236,85.4696350097656,0.0765856291266293
"711","092750","GUAYAS","GNRAL. ANTONIO ELIZALDE","GRAL. ANTONIO ELIZALDE (BUCAY)",448,0,16,30.2439994812012,18.2840003967285,85.036491394043,0.207290916617229
"712","092850","GUAYAS","ISIDRO AYORA","ISIDRO AYORA",243,9070,1,30.2759990692139,18.5319995880127,87.8028793334961,0.0816129010840717
"713","110150","LOJA","LOJA","LOJA",118,10176,50,22.8559989929199,10.46399974823,43.9324569702148,0.0873272218869836
"714","110151","LOJA","LOJA","CHANTACO",144,630,36,23.1280002593994,10.3920001983643,32.6299476623535,0.0908989943230032
"715","110152","LOJA","LOJA","CHUQUIRIBAMBA",153,0,40,20.6040000915527,8.01599979400635,29.2704067230225,0.0888108394025236
"716","110153","LOJA","LOJA","EL CISNE",172,1141,18,22.9839992523193,10.6199998855591,19.0698699951172,0.137112934640939
"717","110154","LOJA","LOJA","GUALEL",147,3077,38,19.507999420166,7.03999996185303,33.059627532959,0.0848397387000347
"718","110155","LOJA","LOJA","JIMBILLA",117,2419,58,22.7439994812012,10.2799997329712,44.1572761535645,0.0606885085512845
"719","110156","LOJA","LOJA","MALACATOS (VALLADOLID)",169,3703,19,25.511999130249,12.6599998474121,26.7804889678955,0.152936720502362
"720","110157","LOJA","LOJA","SAN LUCAS",138,4948,60,19.3600006103516,7.02400016784668,47.5200958251953,0.0618321867620097
